Period,States and Territories,SA4 name,SA3 name,SA2 name,ATMs,Bank_post,Branch,Other face-to-face,Total,ATM_prop,Branch_prop,Bank_post_prop,Other_prop
2021-06-30,SA,Adelaide - Central and Hills,Adelaide Hills,Adelaide Hills,0,5,0,0,5,0.0,0.0,1.0,0.0
2021-06-30,SA,Adelaide - Central and Hills,Adelaide Hills,Aldgate - Stirling,3,5,2,0,10,0.3,0.2,0.5,0.0
2021-06-30,SA,Adelaide - Central and Hills,Adelaide Hills,Hahndorf - Echunga,0,2,0,0,2,0.0,0.0,1.0,0.0
2021-06-30,SA,Adelaide - Central and Hills,Adelaide Hills,Lobethal - Woodside,2,4,1,1,8,0.25,0.125,0.5,0.125
2021-06-30,SA,Adelaide - Central and Hills,Adelaide Hills,Mount Barker,11,2,9,1,23,0.4782608695652174,0.391304347826087,0.08695652173913043,0.043478260869565216
2021-06-30,SA,Adelaide - Central and Hills,Adelaide Hills,Mount Barker Surrounds,0,2,0,0,2,0.0,0.0,1.0,0.0
2021-06-30,SA,Adelaide - Central and Hills,Adelaide Hills,Nairne,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,SA,Adelaide - Central and Hills,Adelaide Hills,Uraidla - Summertown,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,SA,Adelaide - Central and Hills,Burnside,Beaumont - Glen Osmond,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,SA,Adelaide - Central and Hills,Burnside,Burnside - Wattle Park,0,4,0,0,4,0.0,0.0,1.0,0.0
2021-06-30,SA,Adelaide - Central and Hills,Burnside,Toorak Gardens,6,2,4,0,12,0.5,0.3333333333333333,0.16666666666666666,0.0
2021-06-30,SA,Adelaide - Central and Hills,Campbelltown (SA),Athelstone,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,SA,Adelaide - Central and Hills,Campbelltown (SA),Paradise - Newton,7,2,4,0,13,0.5384615384615384,0.3076923076923077,0.15384615384615385,0.0
2021-06-30,SA,Adelaide - Central and Hills,Campbelltown (SA),Rostrevor - Magill,0,2,0,0,2,0.0,0.0,1.0,0.0
2021-06-30,SA,Adelaide - Central and Hills,Norwood - Payneham - St Peters,Norwood (SA),15,2,7,2,26,0.5769230769230769,0.2692307692307692,0.07692307692307693,0.07692307692307693
2021-06-30,SA,Adelaide - Central and Hills,Norwood - Payneham - St Peters,Payneham - Felixstow,3,2,2,0,7,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0
2021-06-30,SA,Adelaide - Central and Hills,Norwood - Payneham - St Peters,St Peters - Marden,3,2,2,0,7,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0
2021-06-30,SA,Adelaide - Central and Hills,Prospect - Walkerville,Prospect,10,2,6,1,19,0.5263157894736842,0.3157894736842105,0.10526315789473684,0.05263157894736842
2021-06-30,SA,Adelaide - Central and Hills,Prospect - Walkerville,Walkerville,0,2,0,0,2,0.0,0.0,1.0,0.0
2021-06-30,SA,Adelaide - Central and Hills,Unley,Goodwood - Millswood,2,3,3,0,8,0.25,0.375,0.375,0.0
2021-06-30,SA,Adelaide - Central and Hills,Unley,Unley - Parkside,8,3,6,0,17,0.47058823529411764,0.35294117647058826,0.17647058823529413,0.0
2021-06-30,SA,Adelaide - North,Gawler - Two Wells,Gawler - North,0,2,0,1,3,0.0,0.0,0.6666666666666666,0.3333333333333333
2021-06-30,SA,Adelaide - North,Gawler - Two Wells,Gawler - South,14,1,8,1,24,0.5833333333333334,0.3333333333333333,0.041666666666666664,0.041666666666666664
2021-06-30,SA,Adelaide - North,Gawler - Two Wells,Lewiston - Two Wells,1,1,0,0,2,0.5,0.0,0.5,0.0
2021-06-30,SA,Adelaide - North,Playford,Craigmore - Blakeview,1,1,0,0,2,0.5,0.0,0.5,0.0
2021-06-30,SA,Adelaide - North,Playford,Davoren Park,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,SA,Adelaide - North,Playford,Elizabeth,11,3,4,0,18,0.6111111111111112,0.2222222222222222,0.16666666666666666,0.0
2021-06-30,SA,Adelaide - North,Playford,Elizabeth East,0,2,0,0,2,0.0,0.0,1.0,0.0
2021-06-30,SA,Adelaide - North,Playford,Munno Para West - Angle Vale,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,SA,Adelaide - North,Playford,One Tree Hill,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,SA,Adelaide - North,Playford,Smithfield - Elizabeth North,12,1,5,0,18,0.6666666666666666,0.2777777777777778,0.05555555555555555,0.0
2021-06-30,SA,Adelaide - North,Playford,Virginia - Waterloo Corner,2,1,1,1,5,0.4,0.2,0.2,0.2
2021-06-30,SA,Adelaide - North,Port Adelaide - East,Enfield - Blair Athol,4,5,1,0,10,0.4,0.1,0.5,0.0
2021-06-30,SA,Adelaide - North,Port Adelaide - East,Valley View - Gilles Plains,1,1,0,0,2,0.5,0.0,0.5,0.0
2021-06-30,SA,Adelaide - North,Port Adelaide - East,Windsor Gardens,2,2,1,0,5,0.4,0.2,0.4,0.0
2021-06-30,SA,Adelaide - North,Salisbury,Ingle Farm,4,1,2,0,7,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.0
2021-06-30,SA,Adelaide - North,Salisbury,Mawson Lakes - Globe Derby Park,3,0,1,0,4,0.75,0.25,0.0,0.0
2021-06-30,SA,Adelaide - North,Salisbury,Para Hills,1,1,0,0,2,0.5,0.0,0.5,0.0
2021-06-30,SA,Adelaide - North,Salisbury,Parafield Gardens,1,1,0,0,2,0.5,0.0,0.5,0.0
2021-06-30,SA,Adelaide - North,Salisbury,Paralowie,1,1,0,0,2,0.5,0.0,0.5,0.0
2021-06-30,SA,Adelaide - North,Salisbury,Pooraka - Cavan,1,1,1,1,4,0.25,0.25,0.25,0.25
2021-06-30,SA,Adelaide - North,Salisbury,Salisbury,21,4,9,0,34,0.6176470588235294,0.2647058823529412,0.11764705882352941,0.0
2021-06-30,SA,Adelaide - North,Salisbury,Salisbury East,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,SA,Adelaide - North,Salisbury,Salisbury North,3,3,2,0,8,0.375,0.25,0.375,0.0
2021-06-30,SA,Adelaide - North,Tea Tree Gully,Golden Grove,4,1,2,0,7,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.0
2021-06-30,SA,Adelaide - North,Tea Tree Gully,Greenwith,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,SA,Adelaide - North,Tea Tree Gully,Highbury - Dernancourt,0,2,0,0,2,0.0,0.0,1.0,0.0
2021-06-30,SA,Adelaide - North,Tea Tree Gully,Hope Valley - Modbury,11,4,7,1,23,0.4782608695652174,0.30434782608695654,0.17391304347826086,0.043478260869565216
2021-06-30,SA,Adelaide - North,Tea Tree Gully,Redwood Park,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,SA,Adelaide - North,Tea Tree Gully,St Agnes - Ridgehaven,3,1,1,0,5,0.6,0.2,0.2,0.0
2021-06-30,SA,Adelaide - South,Holdfast Bay,Brighton (SA),0,2,0,0,2,0.0,0.0,1.0,0.0
2021-06-30,SA,Adelaide - South,Holdfast Bay,Glenelg (SA),12,2,7,1,22,0.5454545454545454,0.3181818181818182,0.09090909090909091,0.045454545454545456
2021-06-30,SA,Adelaide - South,Marion,Edwardstown,6,2,4,0,12,0.5,0.3333333333333333,0.16666666666666666,0.0
2021-06-30,SA,Adelaide - South,Marion,Hallett Cove,1,1,1,0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2021-06-30,SA,Adelaide - South,Marion,Marino - Seaview Downs,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,SA,Adelaide - South,Marion,Mitchell Park,2,0,0,1,3,0.6666666666666666,0.0,0.0,0.3333333333333333
2021-06-30,SA,Adelaide - South,Marion,Morphettville,1,3,0,0,4,0.25,0.0,0.75,0.0
2021-06-30,SA,Adelaide - South,Marion,Warradale,16,2,8,0,26,0.6153846153846154,0.3076923076923077,0.07692307692307693,0.0
2021-06-30,SA,Adelaide - South,Mitcham,Belair,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,SA,Adelaide - South,Mitcham,Bellevue Heights,3,1,0,0,4,0.75,0.0,0.25,0.0
2021-06-30,SA,Adelaide - South,Mitcham,Blackwood,5,1,5,0,11,0.45454545454545453,0.45454545454545453,0.09090909090909091,0.0
2021-06-30,SA,Adelaide - South,Mitcham,Colonel Light Gardens,1,1,1,0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2021-06-30,SA,Adelaide - South,Mitcham,Mitcham (SA),1,1,0,0,2,0.5,0.0,0.5,0.0
2021-06-30,SA,Adelaide - South,Mitcham,Panorama,0,1,0,0,1,0.0,0.0,1.0,0.0
